created_at,product,amount
2024-07-08 12:53:42.388295,KIR-QUARTZ 3000 SG 20W50 500ML,300
2024-07-08 13:28:20.667451,TUR-RUBIA TIR 7400 15W40 500ML,600
2024-07-17 16:22:18.309067,15W40 500ML,300
2024-07-12 11:56:18.295190,MAR-FLUIDMATIC CVT MV 1L,1000
2024-07-12 12:04:43.955254,MAR-RUBIA SX SAE40 500ML,300
2024-07-12 12:11:44.112688,MAR-FLUIDMATIC CVT MV 1L,1000
2024-07-08 14:09:13.561496,BRAKE FLUID 500ML,1600
2024-07-21 11:05:53.094676,CHI-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-17 16:45:04.264891,KIR-QUARTZ 4X4 15W40 500ML,400
2024-07-08 14:20:54.817786,AVO-QUARTZ 5000 20W50 500ML,300
2024-07-08 14:22:20.408832,AVO-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-21 11:42:45.744153,TUR-FLUIDMATIC DIII MV 500ML,2400
2024-07-17 17:07:44.930849,TRO-QUARTZ 5000 20W50 500ML,600
2024-07-08 15:21:27.163079,CHI-RUBIA TIR 7400 15W40 500ML,300
2024-07-08 15:21:37.774500,CHI-RUBIA TIR 7400 15W40 500ML,300
2024-07-12 13:04:30.615181,MAR-RUBIA TIR 7400 15W40 500ML,300
2024-07-08 15:49:46.812235,CHI-QUARTZ 9000 SAE 5W40 5L,3000
2024-07-12 13:19:06.392281,20W50 500ML,300
2024-07-21 12:27:16.016069,SEK-FLUIDMATIC CVT MV 1L,1100
2024-07-21 12:36:08.996922,SEK-RACE BRAKEFLUID DOT4+ 500ML,300
2024-07-12 13:27:24.685221,SAM-QUARTZ 9000 SAE 5W40 5L,3000
2024-07-12 13:28:19.040053,SAM-FLUIDMATIC DIII MV 500ML,300
2024-07-08 16:27:37.196610,TUR-RUBIA TIR 7400 15W40 500ML,300
2024-07-15 10:07:31.515082,MAR-QUARTZ 5000 20W50 5L,2200
2024-07-17 17:38:13.784892,5W40 500ML,500
2024-07-12 13:56:11.722911,TRO-QUARTZ 4X4 15W40 500ML,300
2024-07-21 12:47:58.900955,SUN-QUARTZ 4X4 15W40 500ML,900
2024-07-17 17:49:17.781194,ATF 500ML,800
2024-07-08 17:23:29.553054,CHI-QUARTZ 4X4 15W40 5L,2500
2024-07-08 17:34:40.657879,MSE-QUARTZ 9000 SAE 5W40 5L,6000
2024-07-08 17:33:26.219296,15W40 500ML,600
2024-07-08 17:36:05.307358,SAE40 500ML,300
2024-07-19 15:54:31.815800,MGM-RUBIA SX SAE40 500ML,300
2024-07-08 18:00:37.776001,TRO-QUARTZ 4X4 15W40 500ML,600
2024-07-12 15:06:39.905334,MAR-RUBIA TIR 7400 15W40 500ML,300
2024-07-19 16:09:19.669416,GWE-QUARTZ 5000 20W50 500ML,300
2024-07-08 19:04:33.502082,KAD-RUBIA TIR 7400 SAE 15W40 5L,2500
2024-07-08 19:09:51.810772,CHA-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-12 15:40:22.068685,CHI-QUARTZ 9000 SAE 5W40 5L,3000
2024-07-15 11:48:03.888337,BRAKE FLUID 500ML,400
2024-07-17 19:11:46.652545,SAE40 500ML,400
2024-07-19 16:36:43.321044,AVO-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-15 12:07:31.409405,MAR-QUARTZ 5000 20W50 500ML,300
2024-07-08 22:21:15.109995,MAR-QUARTZ 5000 20W50 5L,1000
2024-07-12 16:42:47.674951,TUR-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-25 05:54:07.940453,TRO-RUBIA SX SAE40 500ML,300
2024-05-30 12:18:28.359155,5W40 5LTRS,1000
2024-05-30 11:45:18.239860,15W40 5LTRS,8500
2024-07-12 17:14:57.523492,SUN-RUBIA SX SAE40 500ML,300
2024-07-12 17:15:08.329651,CHE-RUBIA SX SAE40 500ML,600
2024-07-15 13:03:36.636299,SUN-RUBIA TIR 7400 15W40 500ML,300
2024-07-15 13:05:36.277485,SUN-FLUIDMATIC DIII MV 500ML,300
2024-07-21 15:02:52.996841,ROA-FLUIDMATIC CVT MV 1L,1000
2024-07-23 07:46:51.447219,CHA-RUBIA SX SAE40 500ML,300
2024-07-23 07:47:25.282768,CHA-QUARTZ 9000 SAE 5W40 500ML,500
2024-05-30 17:32:14.516363,15W40 500ML,1500
2024-07-17 20:39:29.115421,MAR-QUARTZ 5000 20W50 500ML,300
2024-07-25 05:56:19.005381,TRO-RUBIA SX SAE40 500ML,300
2024-07-15 13:22:20.176791,ROA-QUARTZ 4X4 15W40 500ML,300
2024-07-21 15:15:29.484324,SUN-QUARTZ 5000 20W50 500ML,300
2024-07-25 11:45:47.184780,KIR-RUBIA SX SAE40 500ML,300
2024-07-25 11:57:04.225628,20W50 500ML,600
2024-07-12 18:07:34.795326,SEK-QUARTZ 9000 SAE 5W40 500ML,500
2024-07-17 21:57:10.364139,FIF-QUARTZ 5000 20W50 500ML,300
2024-07-17 22:04:29.961243,ROA-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-17 22:36:06.777545,CHI-RUBIA TIR 7400 SAE 15W40 5L,2500
2024-07-17 22:38:52.256504,CHI-QUARTZ 5000 20W50 500ML,300
2024-07-15 14:25:54.430140,CHI-FLUIDMATIC CVT MV 1L,3000
2024-07-12 19:41:41.629635,CHI-RUBIA SX SAE40 500ML,400
2024-07-17 23:14:36.068009,CHA-QUARTZ 5000 20W50 500ML,600
2024-06-02 15:03:03.014633,5W40 500ML,1000
2024-07-19 17:56:43.005773,MOS-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-19 17:58:00.626397,20W50 500ML,300
2024-07-15 14:33:16.399617,CHI-FLUIDMATIC DIII MV 500ML,300
2024-07-21 16:11:11.060198,KIR-RACE BRAKEFLUID DOT4+ 500ML,400
2024-07-21 16:11:11.078288,ATF 500ML,600
