created_at,description,product,amount
2025-07-22 09:18:55,SALE : MSA-QUARTZ 9000 SAE 5W40 500ML : MSASA,MSA-QUARTZ 9000 SAE 5W40 500ML,5.0
2025-07-22 10:01:39,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.0
2025-07-22 10:16:24,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,50.0
2025-07-22 12:25:35,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,28.17
2025-07-22 12:26:55,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,35.24
2025-07-22 12:30:15,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,6.37
2025-07-22 12:37:42,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,21.62
2025-07-22 12:39:22,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.4
2025-07-22 17:05:30,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.4
2025-07-23 14:51:47,SALE : GWE-QUARTZ 9000 SAE 5W40 500ML : GWERU,GWE-QUARTZ 9000 SAE 5W40 500ML,10.0
2025-07-23 15:41:29,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.8
2025-07-23 15:47:28,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,11.0
2025-07-23 15:58:34,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.0
2025-07-23 17:13:10,SALE : MSA-RUBIA TIR 7400 SAE 15W40 5L : MSASA,MSA-RUBIA TIR 7400 SAE 15W40 5L,25.0
2025-07-23 18:51:15,SALE : SAM-QUARTZ 9000 SAE 5W40 500ML : SAMORA,SAM-QUARTZ 9000 SAE 5W40 500ML,10.0
2025-07-24 11:09:54,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,10.02
2025-07-25 14:28:35,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,25.33
2025-07-25 15:01:07,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,16.4
2025-07-25 15:05:49,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,6.2
2025-07-25 15:06:59,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,9.49
2025-07-26 08:11:18,SALE : CHE-RACE BRAKEFLUID DOT4+ 500ML : CHEGUTU,CHE-RACE BRAKEFLUID DOT4+ 500ML,4.0
2025-07-26 08:12:33,SALE : CHE-RUBIA TIR 7400 15W40 500ML : CHEGUTU,CHE-RUBIA TIR 7400 15W40 500ML,3.0
2025-07-27 10:49:03,SALE : MUNCH & MOVE - SALES : MUNCH & MOVE,MUNCH & MOVE - SALES,2.85
2025-07-28 10:31:52,SALE : AVO-MULTAGRI MS 15W40 20L : AVONDALE,AVO-MULTAGRI MS 15W40 20L,25.0
