sale_date,site_id,site_name,product,total_litres,total_amount
2024-03-04,AVONDALE,AVONDALE,AVONDALE USD DIESEL,86.21,141.9
2023-03-17,ROADPORT,ROADPORT,ROAPORT USD PETROL,164.04,2575428.0
2025-01-20,R MUGABE,R MUGABE,R MUGABE USD PETROL,93.33,139.5
2024-04-16,MUTARE GREEN MARKET,MUTARE GREEN MARKET,MUTARE GREENMARKET USD PETROL,79.05,116.92
2024-06-13,CHEGUTU,CHEGUTU,CHEGUTU USD DIESEL,54.05,79.92
2023-01-07,AVONDALE,AVONDALE,AVONDALE USD PETROL,275.0,4125000.0
2023-05-03,RUNIVILLE,RUNIVILLE,RUNIVILLE USD DIESEL,88.6,142.56
2025-01-22,R MUGABE,R MUGABE,R MUGABE USD PETROL,73.33,109.5
2024-12-02,KADOMA,KADOMA,KADOMA USD PETROL,20.69,29.0
2025-04-08,KADOMA,KADOMA,KADOMA USD PETROL,59.44,84.37
2024-09-19,MARONDERA,MARONDERA,MARONDERA USD PETROL,119.57,168.98
2024-04-30,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,19.48,29.26
2023-06-25,FORT STREET,FORT STREET,FORT USD PETROL,26.14,39.78
2024-07-19,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,297.3,439.56
2024-07-11,BANKET,BANKET,BANKET USD PETROL,13.33,19.5
2025-01-25,FIFE STREET,FIFE STREET,FIFE USD PETROL,172.57,254.56
2023-10-04,AVONDALE,AVONDALE,AVONDALE USD DIESEL,58.62,100.92
2025-11-08,R MUGABE,R MUGABE,R MUGABE USD DIESEL,126.4,189.0
2023-12-27,KADOMA,KADOMA,KADOMA USD PETROL,38.06,58.9
2025-11-10,GWERU,GWERU,GWERU USD PETROL,26.97,39.52
2023-12-14,FIFE STREET,FIFE STREET,FIFE USD DIESEL,190.24,311.6
2024-07-17,RUNIVILLE,RUNIVILLE,RUNIVILLE USD PETROL,219.97,324.12
2025-06-21,KADOMA,KADOMA,KADOMA USD PETROL,156.85,226.2
2024-08-17,TROUTBECK,TROUTBECK,TROUTBECK USD PETROL,26.84,38.74
2024-04-23,MPOPOMA,MPOPOMA,MPOPOMA USD DIESEL,33.36,50.82
2024-04-22,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,19.73,28.88
2024-11-05,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD PETROL,34.89,50.66
2025-07-21,KADOMA,KADOMA,KADOMA USD PETROL,23.49,34.27
2023-04-11,SAMORA,SAMORA,SAMORA USD PETROL,161.29,249.55
2023-04-30,MSASA,MSASA,MSASA USD PETROL,124.82,190.96
2024-02-14,CHINHOYI MAIN,CHINHOYI MAIN,CHINHOYI MAIN USD DIESEL,63.52,100.17
2023-08-17,AVONDALE,AVONDALE,AVONDALE USD PETROL,98.14,157.78
