created_at_local,product,amount,quantity
2025-09-11 17:14:34.243025,MPO-RUBIA SX SAE40 500ML,6,2.0
2025-09-11 17:15:30.783550,MPO-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-11 18:36:30.848563,KIR-RUBIA TIR 7400 15W40 500ML,9,3.0
2025-09-11 19:45:29.633189,MSE-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-11 19:46:03.967394,MSE-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-12 07:13:10.404993,MPO-RUBIA TIR 7400 15W40 500ML,3,1.0
2025-09-12 07:13:43.306972,MPO-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-12 07:59:56.405344,CHA-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-12 08:14:40.595980,BAN-RUBIA TIR 7400 15W40 500ML,6,2.0
2025-09-12 09:06:22.979731,SAM-QUARTZ 5000 20W50 500ML,3,1.0
2025-09-12 09:18:27.946876,FOR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-12 09:22:33.413166,BAN-QUARTZ 5000 20W50 5L,22,1.0
2025-09-12 10:04:54.116791,BAN-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-14 19:24:29.645221,MPO-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-14 19:25:03.330551,MPO-RACE BRAKEFLUID DOT4+ 500ML,12,3.0
2025-09-14 19:27:47.562412,MPO-QUARTZ 9000 SAE 5W40 5L,30,1.0
2025-09-14 19:28:20.354181,MPO-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-14 19:29:16.034311,MPO-QUARTZ 5000 20W50 500ML,9,3.0
2025-09-14 19:51:27.961965,GWE-QUARTZ 9000 SAE 5W40 500ML,5,1.0
2025-09-14 19:57:19.579764,BAN-RUBIA TIR 7400 SAE 15W40 5L,25,1.0
2025-09-14 20:56:57.620114,TRO-FLUIDMATIC DIII MV 500ML,6,2.0
2025-09-15 00:33:45.793987,KIR-QUARTZ 4X4 15W40 500ML,9,3.0
2025-09-15 07:43:02.499639,MPO-FLUIDMATIC DIII MV 500ML,3,1.0
2025-09-15 08:15:53.492784,MSA-RUBIA SX SAE40 500ML,9,3.0
2025-09-15 09:14:19.923264,TUR-RACE BRAKEFLUID DOT4+ 500ML,4,1.0
2025-09-15 14:35:22.416665,BAN-NEPTUNA 2T SUPER SPORT 500ML,4,1.0
2025-09-15 18:07:26.183932,RUN-QUARTZ 4X4 15W40 500ML,6,2.0
2025-09-15 18:48:16.791158,RUN-QUARTZ 9000 SAE 5W40 500ML,10,2.0
2025-09-18 08:34:36.306628,MPO-QUARTZ 5000 20W50 5L,22,1.0
